timestamp,error_count,device_id,x,y,z,temperature,scaling,x_raw,y_raw,z_raw,is_external
244805975,0,396809,0.016251462,0.2122791,0.400862,0.0,0.003,2,64,104,1
245803502,0,396809,0.02230023,0.20648754,0.400862,0.0,0.003,4,62,104,1
246810799,0,396809,0.025324617,0.20359176,0.40394637,0.0,0.003,5,61,105,1
247807442,0,396809,0.034397773,0.18621711,0.40394637,0.0,0.003,8,55,105,1
248816821,0,396809,0.06161724,0.18332133,0.400862,0.0,0.003,17,54,104,1
249812202,0,396809,0.058592856,0.19200866,0.3946933,0.0,0.003,16,57,102,1
250821127,0,396809,0.040446546,0.19200866,0.40394637,0.0,0.003,10,57,105,1
251818344,0,396809,0.0011295354,0.1891129,0.400862,0.0,0.003,-3,56,104,1
252827824,0,396809,0.004153921,0.18332133,0.40394637,0.0,0.003,-2,54,105,1
253825222,0,396809,0.010202691,0.18042557,0.40394637,0.0,0.003,0,53,105,1
254833843,0,396809,0.02230023,0.19490445,0.3916089,0.0,0.003,4,58,101,1
255831094,0,396809,0.016251462,0.19780022,0.40394637,0.0,0.003,2,59,105,1
256838771,0,396809,0.0071783056,0.20069599,0.39777765,0.0,0.003,-1,60,103,1
257835097,0,396809,0.0011295354,0.19200866,0.39777765,0.0,0.003,-3,57,103,1
258842134,0,396809,0.0011295354,0.1891129,0.39777765,0.0,0.003,-3,56,103,1
259842177,0,396809,-0.0018948498,0.18042557,0.400862,0.0,0.003,-4,53,104,1
260852114,0,396809,0.0011295354,0.17463402,0.41011515,0.0,0.003,-3,51,107,1
261848857,0,396809,0.004153921,0.18332133,0.400862,0.0,0.003,-2,54,104,1
262847890,0,396809,0.004153921,0.20359176,0.3916089,0.0,0.003,-2,61,101,1
263857114,0,396809,-0.013992391,0.20069599,0.3946933,0.0,0.003,-8,60,102,1
264852512,0,396809,-0.017016776,0.20069599,0.38852453,0.0,0.003,-9,60,100,1
265861326,0,396809,-0.00794362,0.19200866,0.40394637,0.0,0.003,-6,57,105,1
266866181,0,396809,0.0011295354,0.19200866,0.39777765,0.0,0.003,-3,57,103,1
267862807,0,396809,0.004153921,0.19780022,0.3916089,0.0,0.003,-2,59,101,1
268868428,0,396809,0.010202691,0.19490445,0.40394637,0.0,0.003,0,58,105,1
269875433,0,396809,-0.062382553,0.1891129,0.3946933,0.0,0.003,-24,56,102,1
270873788,0,396809,-0.18033358,0.18621711,0.351512,0.0,0.003,-63,55,88,1
271878804,0,396809,-0.23477252,0.02984523,0.36076513,0.0,0.003,-81,1,91,1
272877805,0,396809,-0.1954555,-0.08309002,0.37001827,0.0,0.003,-68,-38,94,1
273876797,0,396809,-0.029114317,-0.23077458,0.36384955,0.0,0.003,-13,-89,92,1
274884252,0,396809,0.12210494,-0.20760837,0.37618703,0.0,0.003,37,-81,96,1
275878006,0,396809,0.07673917,-0.20760837,0.38852453,0.0,0.003,22,-81,100,1
276885846,0,396809,0.058592856,-0.2047126,0.38544017,0.0,0.003,16,-80,99,1
277890433,0,396809,0.06161724,-0.19892104,0.38544017,0.0,0.003,17,-78,99,1
278885369,0,396809,0.0495197,-0.20181683,0.38544017,0.0,0.003,13,-79,99,1
279894121,0,396809,0.064641625,-0.21050414,0.38235575,0.0,0.003,18,-82,98,1
280889517,0,396809,0.073714785,-0.21919148,0.37310264,0.0,0.003,21,-85,95,1
281897442,0,396809,0.06766601,-0.22208725,0.37618703,0.0,0.003,19,-86,96,1
282897429,0,396809,0.06766601,-0.2162957,0.3792714,0.0,0.003,19,-84,97,1
283891241,0,396809,0.0495197,-0.21050414,0.38235575,0.0,0.003,13,-82,98,1
