timestamp,total_written_kb,write_rate_kb_s,dropouts,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
436246762,12138.0,33.360035,15,2401,14336,0,3,120
437253325,12170.097,33.355972,15,3317,14336,0,3,120
438253929,12202.371,33.35296,15,4256,14336,0,3,120
439254098,12236.0,33.3537,15,4682,14336,0,3,120
440255370,12272.161,33.361214,15,2102,14336,0,3,120
441260976,12306.0,33.362,15,804,14336,0,3,120
442266091,12338.411,33.35897,15,1876,14336,0,3,120
443268831,12371.267,33.357365,15,2002,14336,0,3,120
444270218,12404.0,33.355564,15,2842,14336,0,3,120
445270756,12436.076,33.352085,15,4819,14336,0,3,120
446271913,12474.0,33.36421,15,1413,14336,0,3,120
447272849,12506.048,33.360615,15,4276,14336,0,3,120
448274196,12542.316,33.368233,15,1496,14336,0,3,120
449275991,12576.0,33.36891,15,2233,14336,0,3,120
450277467,12608.084,33.36538,15,4516,14336,0,3,120
451280019,12646.151,33.377563,15,1251,14336,0,3,120
452281016,12678.049,33.37358,15,3712,14336,0,3,120
453284144,12712.0,33.37482,15,4605,14336,0,3,120
454284441,12748.119,33.381985,15,2876,14336,0,3,120
455290072,12782.0,33.382793,15,3859,14336,0,3,120
456292294,12818.203,33.38995,15,1538,14336,0,3,120
457293646,12852.0,33.39089,15,1556,14336,0,3,120
458294857,12884.11,33.387466,15,2775,14336,0,3,120
459295278,12916.541,33.384956,15,3071,14336,0,3,120
460296023,12950.0,33.385082,15,2625,14336,0,3,120
461297031,12982.065,33.381603,15,4090,14336,0,3,120
462298145,13018.708,33.389874,15,1988,14336,0,3,120
463299030,13052.049,33.38967,15,3033,14336,0,3,120
464300031,13084.134,33.386257,15,5233,14336,0,3,120
465301010,13122.087,33.397797,15,1426,14336,0,3,120
466302120,13154.094,33.39417,15,4244,14336,0,3,120
467303187,13188.0,33.39538,15,4384,14336,0,3,120
468304049,13224.082,33.402092,15,2643,14336,0,3,120
469306226,13258.0,33.403206,15,3402,14336,0,3,120
470307986,13294.975,33.412033,15,1548,14336,0,3,120
471313746,13328.0,33.410583,15,2805,14336,0,3,120
472315812,13360.028,33.40695,15,5502,14336,0,3,120
