timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
290149717,32767,32767,32767,32767,-43,32767
290154718,32767,32767,32767,32767,32767,32767
290158800,32767,32767,32767,32767,-16,32767
290163725,32767,32767,32767,32767,32767,32767
290168844,32767,32767,32767,-14,32767,32767
290173731,32767,32767,32767,32767,-49,32767
290178805,32767,32767,32767,32767,32767,32767
290183728,32767,32767,32767,32767,-36,32767
290188810,32767,32767,32767,32767,32767,32767
290193736,32767,32767,32767,-10,-23,32767
290197808,32767,32767,32767,32767,32767,32767
290202738,32767,32767,32767,32767,32767,32767
290207805,32767,32767,32767,32767,-48,32767
290212718,32767,32767,32767,32767,32767,32767
290217803,32767,32767,32767,5,-36,32767
290222734,32767,32767,32767,32767,32767,32767
290227817,32767,32767,32767,32767,-18,32767
290236807,32767,32767,32767,32767,32767,32767
290241747,32767,32767,32767,32767,-44,32767
290246793,32767,32767,32767,-27,32767,32767
290251727,32767,32767,32767,32767,-26,32767
290256882,32767,32767,32767,32767,32767,32767
290261740,32767,32767,32767,32767,-13,32767
290266804,32767,32767,32767,32767,32767,32767
290271735,32767,32767,32767,-29,32767,32767
290276815,32767,32767,32767,32767,-50,32767
290280800,32767,32767,32767,32767,32767,32767
290285719,32767,32767,32767,32767,-26,32767
290290880,32767,32767,32767,32767,32767,32767
290295735,32767,32767,32767,-26,-13,32767
290300791,32767,32767,32767,32767,32767,32767
290305714,32767,32767,32767,32767,32767,32767
290310800,32767,32767,32767,32767,-51,32767
290315740,32767,32767,32767,32767,32767,32767
290319805,32767,32767,32767,-11,-27,32767
290324734,32767,32767,32767,32767,32767,32767
290329739,32767,32767,32767,32767,-13,32767
290334718,32767,32767,32767,32767,32767,32767
290339808,32767,32767,32767,32767,32767,32767
290344733,32767,32767,32767,-3,-49,32767
290349800,32767,32767,32767,32767,32767,32767
290354731,32767,32767,32767,32767,-29,32767
290358801,32767,32767,32767,32767,32767,32767
290363742,32767,32767,32767,32767,32767,32767
290368799,32767,32767,32767,32767,-56,32767
290373722,32767,32767,32767,-30,32767,32767
290379011,32767,32767,32767,32767,-46,32767
290383727,32767,32767,32767,32767,32767,32767
290388025,32767,32767,32767,32767,-19,32767
290391733,32767,32767,32767,32767,32767,32767
290395722,32767,32767,32767,-9,32767,32767
290399740,32767,32767,32767,32767,-24,32767
290403866,32767,32767,32767,32767,32767,32767
290407801,32767,32767,32767,32767,32767,32767
290412813,32767,32767,32767,32767,-38,32767
290417816,32767,32767,32767,32767,32767,32767
290422720,32767,32767,32767,-18,-23,32767
290427803,32767,32767,32767,32767,32767,32767
290436797,32767,32767,32767,32767,32767,32767
290441728,32767,32767,32767,32767,32767,32767
290446805,32767,32767,32767,-8,-34,32767
290451734,32767,32767,32767,32767,32767,32767
290456820,32767,32767,32767,32767,-20,32767
290461731,32767,32767,32767,32767,32767,32767
290466809,32767,32767,32767,32767,-7,32767
290471746,32767,32767,32767,-3,32767,32767
290475801,32767,32767,32767,32767,32767,32767
290480757,32767,32767,32767,32767,-33,32767
290485809,32767,32767,32767,32767,32767,32767
290490735,32767,32767,32767,32767,-19,32767
290495806,32767,32767,32767,32767,32767,32767
290500950,32767,32767,32767,-35,-8,32767
290505845,32767,32767,32767,32767,32767,32767
290510728,32767,32767,32767,32767,32767,32767
290514804,32767,32767,32767,32767,-34,32767
290519737,32767,32767,32767,32767,32767,32767
290524801,32767,32767,32767,-24,-15,32767
290529717,32767,32767,32767,32767,32767,32767
290534974,32767,32767,32767,32767,32767,32767
290539748,32767,32767,32767,32767,-47,32767
290544798,32767,32767,32767,32767,32767,32767
290549720,32767,32767,32767,-23,-35,32767
290554806,32767,32767,32767,32767,32767,32767
290558825,32767,32767,32767,32767,-10,32767
290563717,32767,32767,32767,32767,32767,32767
290568858,32767,32767,32767,32767,32767,32767
290573726,32767,32767,32767,-10,-45,32767
290578798,32767,32767,32767,32767,32767,32767
290583727,32767,32767,32767,32767,-33,32767
290588803,32767,32767,32767,32767,32767,32767
290593726,32767,32767,32767,32767,-19,32767
290597819,32767,32767,32767,5,32767,32767
290602726,32767,32767,32767,32767,32767,32767
290607813,32767,32767,32767,32767,-47,32767
290612727,32767,32767,32767,32767,32767,32767
290617721,32767,32767,32767,32767,-33,32767
290622730,32767,32767,32767,5,32767,32767
290627803,32767,32767,32767,32767,-18,32767
290631820,32767,32767,32767,32767,32767,32767
290636740,32767,32767,32767,32767,32767,32767
290641820,32767,32767,32767,32767,-45,32767
290646726,32767,32767,32767,32767,32767,32767
290651803,32767,32767,32767,-28,-27,32767
290656890,32767,32767,32767,32767,32767,32767
290661822,32767,32767,32767,32767,-14,32767
290666714,32767,32767,32767,32767,32767,32767
290671814,32767,32767,32767,32767,32767,32767
290675736,32767,32767,32767,-9,-39,32767
290680796,32767,32767,32767,32767,32767,32767
290685714,32767,32767,32767,32767,-26,32767
290690798,32767,32767,32767,32767,32767,32767
290695821,32767,32767,32767,32767,-14,32767
290700714,32767,32767,32767,-9,32767,32767
290705793,32767,32767,32767,32767,32767,32767
290710744,32767,32767,32767,32767,-49,32767
290714804,32767,32767,32767,32767,32767,32767
290719717,32767,32767,32767,32767,-26,32767
290724798,32767,32767,32767,3,32767,32767
290729734,32767,32767,32767,32767,-13,32767
290734805,32767,32767,32767,32767,32767,32767
290739719,32767,32767,32767,32767,32767,32767
290744820,32767,32767,32767,32767,-51,32767
290749734,32767,32767,32767,2,32767,32767
290753805,32767,32767,32767,32767,-27,32767
290758757,32767,32767,32767,32767,32767,32767
290763812,32767,32767,32767,32767,-14,32767
290768726,32767,32767,32767,32767,32767,32767
290773810,32767,32767,32767,32767,32767,32767
290778939,32767,32767,32767,-25,-47,32767
290783807,32767,32767,32767,32767,32767,32767
290788726,32767,32767,32767,32767,-30,32767
290792802,32767,32767,32767,32767,32767,32767
290797741,32767,32767,32767,32767,32767,32767
290802793,32767,32767,32767,-17,-56,32767
290807722,32767,32767,32767,32767,32767,32767
290812929,32767,32767,32767,32767,-45,32767
290817728,32767,32767,32767,32767,32767,32767
290822801,32767,32767,32767,32767,-27,32767
290827724,32767,32767,32767,-11,32767,32767
290832808,32767,32767,32767,32767,-15,32767
290836813,32767,32767,32767,32767,32767,32767
290841726,32767,32767,32767,32767,32767,32767
