timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
82621826,0.8590591,-0.13572939,-0.07014772,-0.4885429,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
82675936,0.8596309,-0.13397042,-0.07058478,-0.48795938,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
82727871,0.8600597,-0.13280866,-0.070010744,-0.4876042,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
82777821,0.8608014,-0.12947829,-0.06883339,-0.4873585,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
82836804,0.8614182,-0.12529083,-0.06709616,-0.4876055,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
82883884,0.8614523,-0.12374817,-0.0646724,-0.4882663,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
82938803,0.86114836,-0.1237717,-0.062643565,-0.4890604,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
82987834,0.8609299,-0.12383339,-0.060761523,-0.4896663,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
83040740,0.8611562,-0.1195129,-0.05807115,-0.4906673,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
83094730,0.8617767,-0.11087753,-0.053374354,-0.49213654,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
83147816,0.86194396,-0.10251852,-0.04782051,-0.49422264,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
83201802,0.862161,-0.09166714,-0.043698635,-0.4963528,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
83254819,0.86194235,-0.082428284,-0.040349063,-0.49863115,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
83308729,0.8608905,-0.07962021,-0.0371863,-0.50114423,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
