timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
479375218,0.2128365,0.047219884,0.41011515
479386506,0.20981212,0.044324107,0.40394637
479397875,0.2128365,0.044324107,0.400862
479409897,0.21586089,0.04142833,0.40394637
479421189,0.21586089,0.04142833,0.40394637
479432486,0.20981212,0.04142833,0.39777765
479444096,0.2128365,0.04142833,0.3916089
479455431,0.2128365,0.04142833,0.400862
479467123,0.21586089,0.047219884,0.3946933
479478444,0.20981212,0.047219884,0.39777765
479490315,0.20981212,0.05011566,0.40394637
479502312,0.20981212,0.05011566,0.400862
479513784,0.2128365,0.05011566,0.3946933
479525218,0.2128365,0.053011432,0.400862
479536503,0.2128365,0.055907212,0.4070308
479547972,0.2128365,0.055907212,0.400862
479559282,0.2128365,0.055907212,0.3916089
479571110,0.2128365,0.053011432,0.39777765
479582432,0.20981212,0.053011432,0.40394637
479594321,0.20678774,0.055907212,0.400862
479606291,0.20981212,0.053011432,0.3946933
479617860,0.20981212,0.053011432,0.40394637
479629130,0.2128365,0.053011432,0.4070308
479640503,0.20981212,0.05011566,0.41011515
479651805,0.21586089,0.05011566,0.41011515
479663179,0.2128365,0.047219884,0.40394637
479674494,0.2128365,0.05011566,0.40394637
479685873,0.2128365,0.05011566,0.40394637
479697157,0.21586089,0.05011566,0.40394637
479708428,0.21586089,0.05011566,0.40394637
479719786,0.2128365,0.05011566,0.3916089
479731166,0.21586089,0.053011432,0.39777765
479742450,0.21888527,0.055907212,0.3946933
479753862,0.2128365,0.055907212,0.400862
479765130,0.2128365,0.058802985,0.400862
479776457,0.2128365,0.055907212,0.39777765
479788106,0.2128365,0.055907212,0.39777765
479799432,0.20981212,0.058802985,0.3946933
479811334,0.20678774,0.06459454,0.40394637
479823221,0.20376334,0.06459454,0.3946933
479834863,0.20376334,0.061698765,0.40394637
479846126,0.20376334,0.06459454,0.400862
479857438,0.20678774,0.06749031,0.40394637
479868802,0.20981212,0.06749031,0.40394637
479880138,0.20981212,0.06459454,0.4070308
479891479,0.20376334,0.061698765,0.40394637
479903314,0.20678774,0.061698765,0.400862
479915242,0.20981212,0.061698765,0.400862
479926515,0.20981212,0.058802985,0.39777765
479938173,0.2128365,0.055907212,0.40394637
479950056,0.21586089,0.058802985,0.400862
479961354,0.20981212,0.058802985,0.3946933
479972983,0.20981212,0.058802985,0.3946933
479984266,0.2128365,0.055907212,0.4070308
479995763,0.20981212,0.055907212,0.400862
480007293,0.2128365,0.058802985,0.400862
480019125,0.21586089,0.061698765,0.39777765
480030428,0.21586089,0.061698765,0.39777765
480041900,0.20981212,0.06459454,0.3946933
480053185,0.20678774,0.06459454,0.3916089
480064463,0.20678774,0.061698765,0.400862
480075808,0.20376334,0.061698765,0.40394637
480087178,0.20678774,0.06459454,0.400862
480098452,0.20678774,0.061698765,0.40394637
480109880,0.20981212,0.061698765,0.400862
480121797,0.20981212,0.061698765,0.39777765
480133179,0.20981212,0.06459454,0.4070308
480144491,0.20981212,0.06459454,0.40394637
480156122,0.20678774,0.061698765,0.40394637
480167448,0.20981212,0.058802985,0.40394637
480179109,0.20981212,0.055907212,0.400862
480190772,0.20981212,0.055907212,0.4070308
480202052,0.2128365,0.055907212,0.41011515
480213432,0.2128365,0.058802985,0.40394637
480224869,0.20981212,0.058802985,0.41011515
480236143,0.20981212,0.058802985,0.40394637
480247432,0.20981212,0.058802985,0.400862
480258868,0.20981212,0.058802985,0.400862
480270131,0.20981212,0.058802985,0.400862
480281433,0.20981212,0.058802985,0.39777765
480293320,0.2128365,0.061698765,0.4070308
480304910,0.20981212,0.061698765,0.40394637
480316181,0.20678774,0.058802985,0.4070308
480327460,0.2128365,0.058802985,0.4131995
480338873,0.2128365,0.055907212,0.41011515
480350143,0.2128365,0.058802985,0.4070308
480361476,0.20981212,0.058802985,0.4131995
480372998,0.20981212,0.058802985,0.41011515
480384306,0.20981212,0.055907212,0.4070308
480396041,0.20981212,0.055907212,0.40394637
480407307,0.20981212,0.055907212,0.40394637
480419139,0.20678774,0.055907212,0.4070308
480430433,0.20376334,0.055907212,0.41011515
480441809,0.20678774,0.055907212,0.4070308
480453197,0.20981212,0.053011432,0.4070308
480464482,0.20981212,0.05011566,0.4070308
480475813,0.20678774,0.053011432,0.4131995
480487197,0.20678774,0.055907212,0.40394637
480499028,0.20678774,0.055907212,0.41936827
480510327,0.20981212,0.055907212,0.41011515
480521811,0.20678774,0.055907212,0.4070308
480533090,0.20678774,0.053011432,0.41011515
480544429,0.20678774,0.055907212,0.4131995
480555808,0.20376334,0.055907212,0.41011515
480567173,0.20073897,0.053011432,0.400862
480578513,0.20376334,0.05011566,0.4131995
480590363,0.20376334,0.05011566,0.4070308
480602103,0.20376334,0.047219884,0.41011515
480613390,0.20376334,0.05011566,0.4070308
480624876,0.20376334,0.05011566,0.400862
480636141,0.20376334,0.047219884,0.4131995
480647442,0.20073897,0.05011566,0.41011515
480658859,0.20073897,0.047219884,0.4131995
480670120,0.20376334,0.05011566,0.4131995
480681433,0.20073897,0.05011566,0.41011515
480692801,0.20073897,0.053011432,0.4162839
480704161,0.20073897,0.053011432,0.4131995
480716178,0.20376334,0.05011566,0.4131995
480727480,0.20376334,0.053011432,0.4070308
480738879,0.20073897,0.053011432,0.4070308
