timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
468978700,468978562,-0.025164798,0.06600709,0.072548665,0.5752821,0.0,0.0,0.0,-1.0
469079696,469079558,-0.036419712,0.05035491,0.07333689,0.5852709,0.0,0.0,0.0,-1.0
469180700,469180551,-0.04105457,0.07459139,0.07715559,0.58798873,0.0,0.0,0.0,-1.0
469283686,469283549,-0.06322857,0.056558583,0.0739412,0.58826303,0.0,0.0,0.0,-1.0
469386740,469386605,-0.03281007,0.08247579,0.08183603,0.5870895,0.0,0.0,0.0,-1.0
469489684,469489550,-0.021125972,0.069276825,0.081191055,0.58264256,0.0,0.0,0.0,-1.0
469591694,469591562,-0.03413894,0.053554405,0.08049314,0.5767896,0.0,0.0,0.0,-1.0
469693710,469693555,-0.0492343,0.038001228,0.07983777,0.5714883,0.0,0.0,0.0,-1.0
469795768,469795633,-0.024692506,0.068991035,0.07981618,0.5684657,0.0,0.0,0.0,-1.0
469897696,469897564,-0.02893733,0.053293567,0.078535944,0.55823284,0.0,0.0,0.0,-1.0
470000700,470000550,-0.044795062,0.09317665,0.07426729,0.549615,0.0,0.0,0.0,-1.0
470103695,470103561,-0.041555867,0.06401268,0.07863186,0.53872454,0.0,0.0,0.0,-1.0
470204784,470204644,-0.031812347,0.033437774,0.0742669,0.5325573,0.0,0.0,0.0,-1.0
470307694,470307553,-0.03543031,0.06269839,0.078760356,0.53518724,0.0,0.0,0.0,-1.0
470410703,470410560,-0.047402404,0.030766567,0.0785641,0.53503,0.0,0.0,0.0,-1.0
470511706,470511560,-0.047501598,0.05935385,0.085715085,0.53862643,0.0,0.0,0.0,-1.0
470613895,470613751,-0.020584198,0.06077394,0.0861012,0.54558617,0.0,0.0,0.0,-1.0
470715701,470715567,-0.04972905,0.052315444,0.08046538,0.54967785,0.0,0.0,0.0,-1.0
470815692,470815558,-0.023283869,0.06335884,0.08649832,0.553835,0.0,0.0,0.0,-1.0
470917686,470917549,-0.03729203,0.07363188,0.08743302,0.5582882,0.0,0.0,0.0,-1.0
471019689,471019549,-0.00869995,0.04822374,0.093052775,0.5589263,0.0,0.0,0.0,-1.0
471122714,471122562,-0.04695768,0.024246199,0.095181726,0.56257206,0.0,0.0,0.0,-1.0
471225686,471225551,-0.030807557,0.049433567,0.09839778,0.5620985,0.0,0.0,0.0,-1.0
471327695,471327549,-0.04321804,0.057903826,0.096193634,0.5639015,0.0,0.0,0.0,-1.0
471429755,471429623,-0.002321856,0.056761768,0.096546754,0.56322855,0.0,0.0,0.0,-1.0
471531712,471531571,-0.043382473,0.052028123,0.09467753,0.5622879,0.0,0.0,0.0,-1.0
471630872,471630740,-0.027697569,0.0684556,0.095648006,0.560764,0.0,0.0,0.0,-1.0
471732705,471732561,-0.04560557,0.045447182,0.08991273,0.5623375,0.0,0.0,0.0,-1.0
471834699,471834558,-0.045561016,0.06857331,0.09175388,0.5615569,0.0,0.0,0.0,-1.0
471936699,471936558,-0.03899908,0.07224897,0.083343185,0.55877274,0.0,0.0,0.0,-1.0
472039697,472039560,-0.021889426,0.03161247,0.08858015,0.5609196,0.0,0.0,0.0,-1.0
472142686,472142549,-0.057043288,0.050377324,0.09356426,0.5572794,0.0,0.0,0.0,-1.0
472244699,472244551,-0.05221822,0.061777264,0.092045285,0.55718577,0.0,0.0,0.0,-1.0
472347704,472347568,-0.008595835,0.08098648,0.08999964,0.55230814,0.0,0.0,0.0,-1.0
472447693,472447559,-0.045593783,0.06445013,0.08190592,0.5521587,0.0,0.0,0.0,-1.0
472547686,472547552,-0.030179953,0.058626797,0.07852121,0.548386,0.0,0.0,0.0,-1.0
472649699,472649565,-0.022021532,0.06992426,0.07168973,0.545293,0.0,0.0,0.0,-1.0
472751864,472751728,-0.04865823,0.062684685,0.06785266,0.54084677,0.0,0.0,0.0,-1.0
472853700,472853561,-0.023791952,0.07508809,0.06808273,0.54159194,0.0,0.0,0.0,-1.0
472955709,472955560,-0.0072393767,0.096020274,0.07076762,0.5418589,0.0,0.0,0.0,-1.0
473058695,473058551,-0.048102528,0.09033576,0.061868917,0.53856224,0.0,0.0,0.0,-1.0
473159690,473159554,-0.039573938,0.051982734,0.06710571,0.5457273,0.0,0.0,0.0,-1.0
473262696,473262560,-0.008926693,0.05121024,0.075114265,0.54451126,0.0,0.0,0.0,-1.0
473364698,473364562,-0.023149325,0.066594034,0.081407264,0.5468771,0.0,0.0,0.0,-1.0
473466714,473466573,-0.00924932,0.054642633,0.07867527,0.54544014,0.0,0.0,0.0,-1.0
473566703,473566564,-0.042950206,0.088542335,0.08813637,0.5384277,0.0,0.0,0.0,-1.0
473668689,473668550,0.00031182053,0.04142823,0.081945814,0.53747845,0.0,0.0,0.0,-1.0
473770698,473770554,-0.04055381,0.06700351,0.084162444,0.5418899,0.0,0.0,0.0,-1.0
473872846,473872703,-0.033494506,0.051139966,0.080027,0.54796195,0.0,0.0,0.0,-1.0
473973685,473973551,-0.0058871266,0.055832222,0.086123995,0.55112535,0.0,0.0,0.0,-1.0
474073698,474073556,-0.0366593,0.079508506,0.07933058,0.55431956,0.0,0.0,0.0,-1.0
474176691,474176552,-0.011695469,0.051633477,0.08245956,0.5551284,0.0,0.0,0.0,-1.0
474277693,474277561,-0.025892938,0.07728091,0.07376338,0.5558661,0.0,0.0,0.0,-1.0
474379693,474379558,-0.022858366,0.047496963,0.07827973,0.55948156,0.0,0.0,0.0,-1.0
474482701,474482556,-0.046520602,0.06755116,0.070357144,0.55901617,0.0,0.0,0.0,-1.0
474582697,474582564,-0.0312079,0.052590508,0.07120119,0.5576097,0.0,0.0,0.0,-1.0
474683686,474683549,-0.0063771755,0.09650031,0.07594334,0.55769837,0.0,0.0,0.0,-1.0
474785787,474785655,-0.008907748,0.05989076,0.07398386,0.54877377,0.0,0.0,0.0,-1.0
474886699,474886552,-0.013666332,0.036420286,0.07401892,0.55029845,0.0,0.0,0.0,-1.0
474988686,474988550,-0.01871538,0.08590904,0.07692846,0.5528689,0.0,0.0,0.0,-1.0
475088694,475088558,-0.028946288,0.059370033,0.072811715,0.55158097,0.0,0.0,0.0,-1.0
475190696,475190558,-0.0036929473,0.041041996,0.06702164,0.54779583,0.0,0.0,0.0,-1.0
475293708,475293567,-0.040299103,0.038978368,0.07199431,0.55435115,0.0,0.0,0.0,-1.0
475395704,475395558,-0.0110143535,0.061158694,0.07658058,0.55869174,0.0,0.0,0.0,-1.0
475497749,475497613,-0.024557736,0.06997147,0.077467576,0.5669531,0.0,0.0,0.0,-1.0
475600691,475600550,-0.018466022,0.08698512,0.0792438,0.56847584,0.0,0.0,0.0,-1.0
475702691,475702557,-0.049149763,0.080758445,0.07555832,0.5671567,0.0,0.0,0.0,-1.0
475804703,475804551,-0.014956062,0.06279085,0.07792405,0.56308895,0.0,0.0,0.0,-1.0
475906818,475906686,-0.03989394,0.07129816,0.07524966,0.56402314,0.0,0.0,0.0,-1.0
476010764,476010633,-0.028266992,0.08578127,0.07392542,0.5662107,0.0,0.0,0.0,-1.0
476111690,476111558,-0.059229635,0.044554606,0.07631784,0.5712955,0.0,0.0,0.0,-1.0
476213690,476213552,-0.02021182,0.11650665,0.06763406,0.5730963,0.0,0.0,0.0,-1.0
